ADM0_PCODE,ADM0_EN,ADM1_PCODE,ADM1_EN,ADM1_TYPE,ADM2_PCODE,ADM2_EN,ADM2_TYPE,PROV_CODE,OLD_PROVIN,PROV_TYPE,NOTES,SOURCE,_sum,_mean
MG,Madagascar,MG24,Ihorombe,Region,MG24216,Ihosy,District,"2",Fianarantsoa,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,507873.410113692,23.4064618911279
MG,Madagascar,MG24,Ihorombe,Region,MG24218,Ivohibe,District,"2",Fianarantsoa,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,136310.5585742,25.0386771811535
MG,Madagascar,MG24,Ihorombe,Region,MG24221,Iakora,District,"2",Fianarantsoa,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,103421.653028488,17.8713760201293
MG,Madagascar,MG25,Atsimo Atsinanana,Region,MG25213,Farafangana,District,"2",Fianarantsoa,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,676466.444624901,189.22138311186
MG,Madagascar,MG25,Atsimo Atsinanana,Region,MG25214,Vangaindrano,District,"2",Fianarantsoa,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,590925.757143497,96.1949791866348
MG,Madagascar,MG25,Atsimo Atsinanana,Region,MG25215,Midongy-Atsimo,District,"2",Fianarantsoa,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,97496.1715087891,30.0821263526038
MG,Madagascar,MG25,Atsimo Atsinanana,Region,MG25217,Vondrozo,District,"2",Fianarantsoa,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,209445.312665939,51.6766130436564
MG,Madagascar,MG25,Atsimo Atsinanana,Region,MG25222,Befotaka,District,"2",Fianarantsoa,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,149241.334203482,36.1534239834016
MG,Madagascar,MG31,Atsinanana,Region,MG31301,Toamasina I,District,"3",Toamasina,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,39870.1818847656,996.754547119141
MG,Madagascar,MG31,Atsinanana,Region,MG31306,Brickaville,District,"3",Toamasina,Old Provinces/Faritany dissolved in 2007,,BNGRC (National Disaster Management Office) Fokontany (adm4)  polygons cleaned and merged by OCHA in 2018,203731.2940602,27.346482424188
