time,ADM1_EN,ADM2_EN,precipitation,time2,time3
2023-03-10 03:00:00,Vatovavy Fitovinany,Ikongo,1.27713772966061,2023-03-10,03-10
2023-03-10 03:00:00,Vatovavy Fitovinany,Manakara Atsimo,0.849262310776073,2023-03-10,03-10
2023-03-10 03:00:00,Vatovavy Fitovinany,Mananjary,0.943483851719994,2023-03-10,03-10
2023-03-10 03:00:00,Vatovavy Fitovinany,Nosy-Varika,2.02447488783304,2023-03-10,03-10
2023-03-10 03:00:00,Vatovavy Fitovinany,Vohipeno,0.853723717218434,2023-03-10,03-10
2023-03-10 06:00:00,Alaotra Mangoro,Ambatondrazaka,1.39978524999005,2023-03-10,03-10
2023-03-10 06:00:00,Alaotra Mangoro,Amparafaravola,0.441036293107027,2023-03-10,03-10
2023-03-10 06:00:00,Alaotra Mangoro,Andilamena,0.216803931348295,2023-03-10,03-10
2023-03-10 06:00:00,Alaotra Mangoro,Anosibe-An'ala,0.87247383598636,2023-03-10,03-10
2023-03-10 06:00:00,Alaotra Mangoro,Moramanga,1.05043636513836,2023-03-10,03-10
2023-03-10 06:00:00,Amoron I Mania,Ambatofinandrahana,0.281369181550437,2023-03-10,03-10
2023-03-10 06:00:00,Amoron I Mania,Ambositra,0.508898761306997,2023-03-10,03-10
2023-03-10 06:00:00,Amoron I Mania,Fandriana,0.798911659019436,2023-03-10,03-10
2023-03-10 06:00:00,Amoron I Mania,Manandriana,0.212080075332778,2023-03-10,03-10
2023-03-10 06:00:00,Analamanga,Ambohidratrimo,0.264453537670003,2023-03-10,03-10
2023-03-10 06:00:00,Analamanga,Andramasina,0.659237861001332,2023-03-10,03-10
2023-03-10 06:00:00,Analamanga,Anjozorobe,0.261824863292654,2023-03-10,03-10
2023-03-10 06:00:00,Analamanga,Ankazobe,0.101367104999636,2023-03-10,03-10
2023-03-10 06:00:00,Analamanga,Antananarivo Atsimondrano,0.443458320650583,2023-03-10,03-10
2023-03-10 06:00:00,Analamanga,Antananarivo Avaradrano,0.390939215372782,2023-03-10,03-10
2023-03-10 06:00:00,Analamanga,Manjakandriana,0.429439565202651,2023-03-10,03-10
2023-03-10 06:00:00,Analanjirofo,Fenerive Est,1.27752215634861,2023-03-10,03-10
2023-03-10 06:00:00,Analanjirofo,Mananara-Avaratra,0.315507616061163,2023-03-10,03-10
2023-03-10 06:00:00,Analanjirofo,Maroantsetra,0.361457800323218,2023-03-10,03-10
2023-03-10 06:00:00,Analanjirofo,Sainte Marie,1.06714856388862,2023-03-10,03-10
2023-03-10 06:00:00,Analanjirofo,Soanierana Ivongo,0.797619466271843,2023-03-10,03-10
2023-03-10 06:00:00,Analanjirofo,Vavatenina,2.42430146711413,2023-03-10,03-10
2023-03-10 06:00:00,Androy,Ambovombe-Androy,0.00108301685357123,2023-03-10,03-10
2023-03-10 06:00:00,Androy,Bekily,0.0277014270649551,2023-03-10,03-10
2023-03-10 06:00:00,Androy,Beloha,0.00409651175917437,2023-03-10,03-10
2023-03-10 06:00:00,Anosy,Amboasary-Atsimo,0.0013971008614005,2023-03-10,03-10
2023-03-10 06:00:00,Anosy,Betroka,0.0167350510119071,2023-03-10,03-10
2023-03-10 06:00:00,Anosy,Taolagnaro,0.30087791106527,2023-03-10,03-10
2023-03-10 06:00:00,Atsimo Andrefana,Ampanihy Ouest,0.0217828424262774,2023-03-10,03-10
2023-03-10 06:00:00,Atsimo Andrefana,Ankazoabo,0.105410720060304,2023-03-10,03-10
2023-03-10 06:00:00,Atsimo Andrefana,Benenitra,0.0114471487124833,2023-03-10,03-10
2023-03-10 06:00:00,Atsimo Andrefana,Beroroha,0.210699978323646,2023-03-10,03-10
2023-03-10 06:00:00,Atsimo Andrefana,Betioky Atsimo,0.0257141671966695,2023-03-10,03-10
2023-03-10 06:00:00,Atsimo Andrefana,Morombe,0.194632413791789,2023-03-10,03-10
2023-03-10 06:00:00,Atsimo Andrefana,Sakaraha,0.0865483567955577,2023-03-10,03-10
2023-03-10 06:00:00,Atsimo Andrefana,Toliary-I,0.238584017963149,2023-03-10,03-10
2023-03-10 06:00:00,Atsimo Andrefana,Toliary-II,0.204536304507843,2023-03-10,03-10
2023-03-10 06:00:00,Atsimo Atsinanana,Befotaka,0.0645245235374508,2023-03-10,03-10
2023-03-10 06:00:00,Atsimo Atsinanana,Farafangana,0.464768193274116,2023-03-10,03-10
2023-03-10 06:00:00,Atsimo Atsinanana,Midongy-Atsimo,0.475764585387272,2023-03-10,03-10
2023-03-10 06:00:00,Atsimo Atsinanana,Vangaindrano,0.613845171655571,2023-03-10,03-10
2023-03-10 06:00:00,Atsimo Atsinanana,Vondrozo,0.825105318944056,2023-03-10,03-10
2023-03-10 06:00:00,Atsinanana,Antanambao Manampontsy,1.0612373084994,2023-03-10,03-10
2023-03-10 06:00:00,Atsinanana,Brickaville,3.59114378636957,2023-03-10,03-10
2023-03-10 06:00:00,Atsinanana,Mahanoro,1.35687444775343,2023-03-10,03-10
2023-03-10 06:00:00,Atsinanana,Marolambo,1.30505449420501,2023-03-10,03-10
2023-03-10 06:00:00,Atsinanana,Toamasina II,4.45282611442672,2023-03-10,03-10
2023-03-10 06:00:00,Atsinanana,Vatomandry,2.21099214215646,2023-03-10,03-10
2023-03-10 06:00:00,Betsiboka,Kandreho,0.0129375234041449,2023-03-10,03-10
2023-03-10 06:00:00,Betsiboka,Maevatanana,0.032645359668054,2023-03-10,03-10
2023-03-10 06:00:00,Betsiboka,Tsaratanana,0.0965339913673233,2023-03-10,03-10
2023-03-10 06:00:00,Boeny,Ambato Boeni,0.0183634271255384,2023-03-10,03-10
2023-03-10 06:00:00,Boeny,Mahajanga II,0.033058718881831,2023-03-10,03-10
2023-03-10 06:00:00,Boeny,Marovoay,0.0160031452023363,2023-03-10,03-10
2023-03-10 06:00:00,Boeny,Mitsinjo,0.146436212365405,2023-03-10,03-10
2023-03-10 06:00:00,Boeny,Soalala,0.143244321992825,2023-03-10,03-10
2023-03-10 06:00:00,Bongolava,Fenoarivobe,0.0308433143608642,2023-03-10,03-10
2023-03-10 06:00:00,Bongolava,Tsiroanomandidy,0.0227107574817923,2023-03-10,03-10
2023-03-10 06:00:00,Diana,Ambanja,0.00905932163895697,2023-03-10,03-10
2023-03-10 06:00:00,Diana,Ambilobe,0.0141576772943181,2023-03-10,03-10
2023-03-10 06:00:00,Diana,Antsiranana I,9.16322460398078E-06,2023-03-10,03-10
2023-03-10 06:00:00,Diana,Antsiranana II,0.000468401275833862,2023-03-10,03-10
2023-03-10 06:00:00,Diana,Nosy-Be,0.0129169189603999,2023-03-10,03-10
2023-03-10 06:00:00,Haute Matsiatra,Ambalavao,0.111638714577393,2023-03-10,03-10
2023-03-10 06:00:00,Haute Matsiatra,Ambohimahasoa,0.52881611338727,2023-03-10,03-10
2023-03-10 06:00:00,Haute Matsiatra,Fianarantsoa I,0.170128118770663,2023-03-10,03-10
2023-03-10 06:00:00,Haute Matsiatra,Ikalamavony,0.0997087178750488,2023-03-10,03-10
2023-03-10 06:00:00,Haute Matsiatra,Isandra,0.226468805546491,2023-03-10,03-10
2023-03-10 06:00:00,Haute Matsiatra,Lalangina,0.798049273454429,2023-03-10,03-10
2023-03-10 06:00:00,Haute Matsiatra,Vohibato,0.249320571004462,2023-03-10,03-10
2023-03-10 06:00:00,Ihorombe,Iakora,0.325068797853371,2023-03-10,03-10
2023-03-10 06:00:00,Ihorombe,Ihosy,0.0347738104782974,2023-03-10,03-10
2023-03-10 06:00:00,Ihorombe,Ivohibe,0.366738938979229,2023-03-10,03-10
2023-03-10 06:00:00,Itasy,Arivonimamo,0.388118130659374,2023-03-10,03-10
2023-03-10 06:00:00,Itasy,Miarinarivo,0.254513722180325,2023-03-10,03-10
2023-03-10 06:00:00,Itasy,Soavinandriana,0.177720478506457,2023-03-10,03-10
2023-03-10 06:00:00,Melaky,Ambatomainty,0.0056660108853177,2023-03-10,03-10
2023-03-10 06:00:00,Melaky,Antsalova,0.00966061945989362,2023-03-10,03-10
2023-03-10 06:00:00,Melaky,Besalampy,0.0785105141994173,2023-03-10,03-10
2023-03-10 06:00:00,Melaky,Maintirano,0.0472131078609631,2023-03-10,03-10
2023-03-10 06:00:00,Melaky,Morafenobe,0.0052280104184737,2023-03-10,03-10
2023-03-10 06:00:00,Menabe,Belo Sur Tsiribihina,0.0183183726322193,2023-03-10,03-10
2023-03-10 06:00:00,Menabe,Mahabo,0.309259632023242,2023-03-10,03-10
2023-03-10 06:00:00,Menabe,Manja,0.630086281850265,2023-03-10,03-10
2023-03-10 06:00:00,Menabe,Miandrivazo,0.0246992076649374,2023-03-10,03-10
2023-03-10 06:00:00,Menabe,Morondava,0.21068476255338,2023-03-10,03-10
2023-03-10 06:00:00,Sava,Andapa,0.0112349342513905,2023-03-10,03-10
2023-03-10 06:00:00,Sava,Antalaha,0.279004084629785,2023-03-10,03-10
2023-03-10 06:00:00,Sava,Sambava,0.0131541021983139,2023-03-10,03-10
2023-03-10 06:00:00,Sava,Vohemar,0.0428835032031533,2023-03-10,03-10
2023-03-10 06:00:00,Sofia,Analalava,0.0229501364767003,2023-03-10,03-10
2023-03-10 06:00:00,Sofia,Antsohihy,0.0227034595005623,2023-03-10,03-10
2023-03-10 06:00:00,Sofia,Bealanana,0.0049960151508068,2023-03-10,03-10
2023-03-10 06:00:00,Sofia,Befandriana Nord,0.0314960899704602,2023-03-10,03-10
2023-03-10 06:00:00,Sofia,Mampikony,0.0290450614530784,2023-03-10,03-10
2023-03-10 06:00:00,Sofia,Mandritsara,0.18723501717512,2023-03-10,03-10
2023-03-10 06:00:00,Sofia,Port-Berge (Boriziny-Vaovao),0.0362183715412156,2023-03-10,03-10
2023-03-10 06:00:00,Vakinankaratra,Ambatolampy,0.558302800780019,2023-03-10,03-10
2023-03-10 06:00:00,Vakinankaratra,Antanifotsy,0.664902167396996,2023-03-10,03-10
2023-03-10 06:00:00,Vakinankaratra,Antsirabe I,0.399601032666396,2023-03-10,03-10
2023-03-10 06:00:00,Vakinankaratra,Antsirabe II,0.423121275807954,2023-03-10,03-10
2023-03-10 06:00:00,Vakinankaratra,Betafo,0.28984855708134,2023-03-10,03-10
2023-03-10 06:00:00,Vakinankaratra,Faratsiho,0.465044450042222,2023-03-10,03-10
2023-03-10 06:00:00,Vakinankaratra,Mandoto,0.0756888366669828,2023-03-10,03-10
2023-03-10 06:00:00,Vatovavy Fitovinany,Ifanadiana,1.42177974102122,2023-03-10,03-10
2023-03-10 06:00:00,Vatovavy Fitovinany,Ikongo,1.33315941322595,2023-03-10,03-10
2023-03-10 06:00:00,Vatovavy Fitovinany,Manakara Atsimo,1.33523145541027,2023-03-10,03-10
2023-03-10 06:00:00,Vatovavy Fitovinany,Mananjary,1.4116784955791,2023-03-10,03-10
2023-03-10 06:00:00,Vatovavy Fitovinany,Nosy-Varika,1.27950668049401,2023-03-10,03-10
